                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4459,                 1.0696,                0.93162,                0.40255,                0.30485,                 0.3007,                0.17239,                  1.405,                 1.0537,                0.92953,               0.008317,               0.008317,               0.008317
                     36,                 1.4414,                 1.0701,                0.93424,                0.39853,                0.30911,                0.29999,                0.17134,                 1.4071,                 1.0512,                0.92413,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4422,                  1.067,                0.93156,                0.40627,                0.30804,                0.29969,                0.17164,                 1.4006,                 1.0412,                0.92559,               0.008218,               0.008218,               0.008218
                     38,                 1.4387,                 1.0621,                0.93019,                0.40362,                0.30908,                0.30546,                0.17384,                 1.3994,                 1.0361,                0.92127,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4369,                 1.0591,                0.92934,                0.39898,                0.31739,                0.30561,                0.17624,                  1.398,                 1.0403,                0.91968,               0.008119,               0.008119,               0.008119
                     40,                 1.4389,                 1.0589,                0.93206,                0.41452,                0.30849,                0.30394,                0.17498,                  1.401,                 1.0436,                0.91951,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4311,                 1.0483,                0.92906,                0.42716,                 0.3171,                0.31513,                0.17939,                 1.3824,                 1.0258,                0.91881,                0.00802,                0.00802,                0.00802
                     42,                 1.4273,                 1.0459,                0.92923,                0.41101,                0.31908,                0.31343,                0.18108,                 1.3856,                 1.0299,                0.91955,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4312,                 1.0519,                0.92865,                0.42123,                 0.3151,                0.31394,                0.18159,                 1.3866,                 1.0243,                0.91921,               0.007921,               0.007921,               0.007921
                     44,                 1.4226,                 1.0415,                0.92704,                0.41308,                0.31437,                0.31117,                0.17989,                 1.3913,                 1.0272,                0.92188,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4312,                 1.0441,                0.92761,                0.40813,                0.32165,                0.31435,                 0.1806,                 1.3767,                 1.0215,                0.91623,               0.007822,               0.007822,               0.007822
                     46,                  1.424,                 1.0407,                0.92757,                0.41254,                0.31665,                0.31371,                0.18008,                  1.381,                 1.0187,                 0.9176,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4185,                 1.0358,                 0.9261,                0.41953,                0.31743,                0.31734,                0.18267,                 1.3818,                 1.0185,                0.91878,               0.007723,               0.007723,               0.007723
                     48,                 1.4215,                 1.0384,                0.92626,                0.41958,                0.31883,                0.31401,                0.18214,                 1.3765,                 1.0191,                0.91457,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4098,                  1.032,                0.92582,                0.42285,                0.31775,                0.31515,                0.18115,                 1.3827,                  1.016,                0.91949,               0.007624,               0.007624,               0.007624
                     50,                 1.4194,                 1.0339,                 0.9262,                0.41921,                0.33028,                0.32088,                0.18526,                 1.3781,                 1.0139,                0.91772,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4084,                 1.0243,                0.92414,                0.42151,                 0.3288,                0.32026,                0.18438,                 1.3697,                 1.0064,                0.91522,               0.007525,               0.007525,               0.007525
                     52,                 1.4114,                 1.0215,                0.92496,                0.42037,                0.31856,                0.31796,                0.18431,                 1.3643,                 1.0046,                0.91471,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4133,                 1.0265,                0.92404,                0.41729,                0.32825,                0.31987,                0.18535,                 1.3689,                 1.0064,                0.91513,               0.007426,               0.007426,               0.007426
                     54,                 1.4061,                 1.0199,                0.92255,                0.41713,                0.32703,                0.32061,                0.18611,                  1.366,                 1.0098,                0.91444,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4012,                  1.016,                0.92329,                0.41706,                 0.3253,                0.31729,                0.18358,                 1.3733,                 1.0096,                0.91406,               0.007327,               0.007327,               0.007327
                     56,                 1.4027,                 1.0154,                0.92042,                 0.4359,                0.32108,                0.32163,                0.18663,                 1.3602,                 1.0017,                0.91243,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.402,                 1.0138,                 0.9226,                0.42162,                0.32261,                0.32192,                 0.1872,                  1.365,                 1.0046,                0.91308,               0.007228,               0.007228,               0.007228
                     58,                 1.4063,                 1.0157,                0.92131,                0.41216,                0.32672,                0.32274,                0.18687,                 1.3645,                 1.0003,                0.91252,              0.0071785,              0.0071785,              0.0071785
